Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.952 ± 0.012,0.934 ± 0.014,0.903 ± 0.017,0.855 ± 0.018,0.806 ± 0.020
set_prec,0.950 ± 0.011,0.932 ± 0.014,0.902 ± 0.017,0.855 ± 0.020,0.804 ± 0.021
ArbiTree-CQC,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.001,0.999 ± 0.002
