Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,7.848 ± 1.838,7.848 ± 1.838,7.848 ± 1.838,7.848 ± 1.838,7.848 ± 1.838
set_prec,8.549 ± 2.122,8.549 ± 2.122,8.549 ± 2.122,8.549 ± 2.122,8.549 ± 2.122
set_min,1.768 ± 0.356,1.768 ± 0.356,1.768 ± 0.356,1.768 ± 0.356,1.768 ± 0.356
ArbiTree-CQC,360.382 ± 70.485,360.382 ± 70.485,360.382 ± 70.485,360.382 ± 70.485,360.382 ± 70.485
