Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,3.348 ± 0.969,3.348 ± 0.969,3.348 ± 0.969,3.348 ± 0.969,3.348 ± 0.969
set_prec,3.663 ± 1.103,3.663 ± 1.103,3.663 ± 1.103,3.663 ± 1.103,3.663 ± 1.103
set_min,1.304 ± 0.015,1.304 ± 0.015,1.304 ± 0.015,1.304 ± 0.015,1.304 ± 0.015
ArbiTree-CQC,152.596 ± 43.515,152.596 ± 43.515,152.596 ± 43.515,152.596 ± 43.515,152.596 ± 43.515
