Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,41.402 ± 1.438,39.366 ± 1.359,37.055 ± 1.270,34.002 ± 1.161,31.733 ± 1.079
set_prec,55.449 ± 1.751,51.652 ± 1.658,47.044 ± 1.553,41.446 ± 1.404,37.368 ± 1.273
set_min,41.733 ± 1.386,40.030 ± 1.339,37.698 ± 1.262,34.743 ± 1.203,31.906 ± 1.129
ArbiTree-CQC,770.857 ± 1.275,768.367 ± 2.494,762.320 ± 4.470,746.111 ± 7.571,726.649 ± 10.726
