Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.947 ± 0.010,0.928 ± 0.013,0.897 ± 0.015,0.846 ± 0.020,0.795 ± 0.021
set_prec,0.952 ± 0.012,0.932 ± 0.012,0.904 ± 0.016,0.853 ± 0.019,0.803 ± 0.021
set_min,0.952 ± 0.013,0.931 ± 0.013,0.903 ± 0.014,0.854 ± 0.017,0.804 ± 0.019
ArbiTree-CQC,0.998 ± 0.002,0.996 ± 0.003,0.990 ± 0.006,0.973 ± 0.009,0.949 ± 0.013
