Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,36.444 ± 0.349,34.802 ± 0.347,32.612 ± 0.328,29.984 ± 0.307,28.023 ± 0.292
set_prec,60.186 ± 0.788,55.767 ± 0.862,51.141 ± 0.897,44.584 ± 0.868,39.745 ± 0.849
ArbiTree-CQC,772.123 ± 0.300,771.119 ± 0.595,769.003 ± 0.997,763.521 ± 2.029,756.941 ± 3.159
