Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.950 ± 0.013,0.929 ± 0.013,0.899 ± 0.015,0.851 ± 0.018,0.800 ± 0.021
set_prec,0.950 ± 0.013,0.929 ± 0.014,0.898 ± 0.016,0.848 ± 0.020,0.797 ± 0.024
ArbiTree-CQC,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.001,0.999 ± 0.002,0.997 ± 0.003
