Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.962 ± 0.007,0.951 ± 0.009,0.926 ± 0.011,0.892 ± 0.012,0.871 ± 0.013
set_prec,0.842 ± 0.017,0.801 ± 0.015,0.749 ± 0.019,0.670 ± 0.018,0.605 ± 0.019
