Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,14.555 ± 0.309,13.430 ± 0.285,10.810 ± 0.247,8.674 ± 0.200,7.804 ± 0.183
set_prec,10.537 ± 0.473,8.648 ± 0.372,6.834 ± 0.312,5.126 ± 0.224,4.147 ± 0.178
