Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.423 ± 0.024,1.423 ± 0.024,1.423 ± 0.024,1.423 ± 0.024,1.423 ± 0.024
set_prec,1.565 ± 0.028,1.565 ± 0.028,1.565 ± 0.028,1.565 ± 0.028,1.565 ± 0.028
