Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,7.340 ± 1.840,7.340 ± 1.840,7.340 ± 1.840,7.340 ± 1.840,7.340 ± 1.840
set_prec,7.428 ± 1.942,7.428 ± 1.942,7.428 ± 1.942,7.428 ± 1.942,7.428 ± 1.942
set_min,1.266 ± 0.006,1.266 ± 0.006,1.266 ± 0.006,1.266 ± 0.006,1.266 ± 0.006
ArbiTree-CQC,289.480 ± 71.383,289.480 ± 71.383,289.480 ± 71.383,289.480 ± 71.383,289.480 ± 71.383
