Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.000 ± 0.000,0.929 ± 0.010,0.897 ± 0.012,0.845 ± 0.016,0.796 ± 0.022
set_prec,0.951 ± 0.012,0.930 ± 0.012,0.899 ± 0.016,0.850 ± 0.018,0.799 ± 0.020
ArbiTree-CQC,0.992 ± 0.005,0.986 ± 0.008,0.973 ± 0.009,0.941 ± 0.014,0.905 ± 0.015
