Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,774.000 ± 0.000,17.743 ± 0.538,16.246 ± 0.479,15.017 ± 0.434,14.202 ± 0.410
set_prec,21.333 ± 0.486,20.192 ± 0.461,18.622 ± 0.429,16.599 ± 0.391,14.998 ± 0.349
ArbiTree-CQC,763.480 ± 3.888,755.113 ± 5.855,741.736 ± 7.911,709.067 ± 10.800,671.173 ± 12.373
