Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.968 ± 0.007,0.949 ± 0.010,0.911 ± 0.011,0.859 ± 0.014,0.823 ± 0.015
set_prec,0.970 ± 0.007,0.952 ± 0.008,0.934 ± 0.008,0.888 ± 0.012,0.816 ± 0.015
