Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,30.815 ± 0.785,28.813 ± 0.700,26.990 ± 0.656,24.911 ± 0.602,23.328 ± 0.554
set_prec,42.501 ± 0.918,39.366 ± 0.872,35.776 ± 0.781,30.818 ± 0.670,26.690 ± 0.620
