Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,7.028 ± 2.368,7.028 ± 2.368,7.028 ± 2.368,7.028 ± 2.368,7.028 ± 2.368
set_prec,7.625 ± 2.658,7.625 ± 2.658,7.625 ± 2.658,7.625 ± 2.658,7.625 ± 2.658
set_min,1.783 ± 0.360,1.783 ± 0.360,1.783 ± 0.360,1.783 ± 0.360,1.783 ± 0.360
ArbiTree-CQC,327.756 ± 120.789,327.756 ± 120.789,327.756 ± 120.789,327.756 ± 120.789,327.756 ± 120.789
