Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.951 ± 0.012,0.933 ± 0.013,0.902 ± 0.015,0.853 ± 0.018,0.802 ± 0.021
set_prec,0.954 ± 0.013,0.933 ± 0.013,0.904 ± 0.014,0.854 ± 0.018,0.802 ± 0.022
set_min,0.951 ± 0.012,0.932 ± 0.013,0.902 ± 0.014,0.853 ± 0.016,0.803 ± 0.020
ArbiTree-CQC,0.999 ± 0.001,0.999 ± 0.002,0.997 ± 0.004,0.997 ± 0.004,0.996 ± 0.005
