Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,54.059 ± 0.520,53.277 ± 0.517,52.401 ± 0.511,51.150 ± 0.514,50.004 ± 0.505
set_prec,61.363 ± 0.453,59.932 ± 0.449,57.716 ± 0.450,54.771 ± 0.455,52.252 ± 0.478
ArbiTree-CQC,771.740 ± 1.063,770.475 ± 1.630,769.069 ± 2.518,768.167 ± 3.160,767.635 ± 3.496
