Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,7.447 ± 1.591,7.447 ± 1.591,7.447 ± 1.591,7.447 ± 1.591,7.447 ± 1.591
set_prec,8.517 ± 1.749,8.517 ± 1.749,8.517 ± 1.749,8.517 ± 1.749,8.517 ± 1.749
set_min,1.314 ± 0.039,1.314 ± 0.039,1.314 ± 0.039,1.314 ± 0.039,1.314 ± 0.039
ArbiTree-CQC,299.674 ± 24.986,299.674 ± 24.986,299.674 ± 24.986,299.674 ± 24.986,299.674 ± 24.986
