Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.951 ± 0.009,0.930 ± 0.012,0.899 ± 0.014,0.850 ± 0.017,0.796 ± 0.019
set_prec,0.953 ± 0.012,0.933 ± 0.013,0.904 ± 0.015,0.852 ± 0.018,0.802 ± 0.023
set_min,0.952 ± 0.011,0.932 ± 0.013,0.902 ± 0.017,0.851 ± 0.021,0.802 ± 0.023
ArbiTree-CQC,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.001,1.000 ± 0.001,0.999 ± 0.002
