Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,43.169 ± 0.457,41.914 ± 0.447,40.309 ± 0.437,38.284 ± 0.422,36.690 ± 0.408
set_prec,57.160 ± 0.455,54.741 ± 0.486,52.139 ± 0.513,47.763 ± 0.551,43.824 ± 0.608
set_min,44.283 ± 0.419,43.021 ± 0.393,41.507 ± 0.358,39.494 ± 0.307,37.629 ± 0.297
ArbiTree-CQC,772.688 ± 0.200,772.143 ± 0.494,770.933 ± 0.774,768.489 ± 1.341,764.458 ± 2.471
