Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,5.923 ± 3.118,5.923 ± 3.118,5.923 ± 3.118,5.923 ± 3.118,5.923 ± 3.118
set_prec,6.609 ± 3.506,6.609 ± 3.506,6.609 ± 3.506,6.609 ± 3.506,6.609 ± 3.506
set_min,1.427 ± 0.388,1.427 ± 0.388,1.427 ± 0.388,1.427 ± 0.388,1.427 ± 0.388
ArbiTree-CQC,395.293 ± 203.375,395.293 ± 203.375,395.293 ± 203.375,395.293 ± 203.375,395.293 ± 203.375
