Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.953 ± 0.013,0.931 ± 0.014,0.901 ± 0.015,0.853 ± 0.018,0.803 ± 0.018
set_prec,0.949 ± 0.011,0.929 ± 0.012,0.900 ± 0.015,0.851 ± 0.018,0.803 ± 0.019
set_min,0.949 ± 0.013,0.930 ± 0.013,0.898 ± 0.013,0.848 ± 0.018,0.799 ± 0.020
ArbiTree-CQC,0.952 ± 0.011,0.932 ± 0.013,0.902 ± 0.016,0.855 ± 0.017,0.802 ± 0.017
