Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,9.779 ± 2.036,9.779 ± 2.036,9.779 ± 2.036,9.779 ± 2.036,9.779 ± 2.036
set_prec,7.977 ± 1.803,7.977 ± 1.803,7.977 ± 1.803,7.977 ± 1.803,7.977 ± 1.803
set_min,1.299 ± 0.105,1.299 ± 0.105,1.299 ± 0.105,1.299 ± 0.105,1.299 ± 0.105
ArbiTree-CQC,281.359 ± 103.687,281.359 ± 103.687,281.359 ± 103.687,281.359 ± 103.687,281.359 ± 103.687
