Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.803 ± 0.020
set_prec,0.951 ± 0.011,0.930 ± 0.013,0.899 ± 0.016,0.852 ± 0.016,0.801 ± 0.021
ArbiTree-CQC,0.993 ± 0.005,0.988 ± 0.005,0.980 ± 0.008,0.961 ± 0.010,0.931 ± 0.014
