Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,774.000 ± 0.000,774.000 ± 0.000,774.000 ± 0.000,774.000 ± 0.000,19.122 ± 0.574
set_prec,25.069 ± 0.566,24.016 ± 0.545,22.576 ± 0.511,20.640 ± 0.463,18.915 ± 0.440
ArbiTree-CQC,771.022 ± 1.054,768.673 ± 2.353,764.048 ± 4.216,750.241 ± 10.979,727.324 ± 17.548
