Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,9.524 ± 0.194,9.161 ± 0.175,8.779 ± 0.171,8.257 ± 0.148,7.836 ± 0.143
set_prec,18.401 ± 0.226,16.939 ± 0.191,15.142 ± 0.195,13.093 ± 0.209,11.590 ± 0.219
