Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.916 ± 0.013,0.896 ± 0.013,0.874 ± 0.015,0.819 ± 0.016,0.779 ± 0.018
set_prec,0.960 ± 0.007,0.943 ± 0.008,0.919 ± 0.010,0.873 ± 0.012,0.832 ± 0.014
