Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,4.268 ± 19.923,4.268 ± 19.923,4.268 ± 19.923,4.268 ± 19.923,4.268 ± 19.923
set_prec,1.554 ± 0.009,1.554 ± 0.009,1.554 ± 0.009,1.554 ± 0.009,1.554 ± 0.009
