Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.589 ± 0.064,1.589 ± 0.064,1.589 ± 0.064,1.589 ± 0.064,1.589 ± 0.064
set_prec,1.627 ± 0.066,1.627 ± 0.066,1.627 ± 0.066,1.627 ± 0.066,1.627 ± 0.066
