Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,774.000 ± 0.000,17.234 ± 0.420,15.758 ± 0.315,14.571 ± 0.291,13.779 ± 0.271
set_prec,21.100 ± 0.278,19.767 ± 0.275,18.089 ± 0.236,16.058 ± 0.210,14.433 ± 0.206
