Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.000 ± 0.000,0.991 ± 0.004,0.954 ± 0.008,0.902 ± 0.013,0.845 ± 0.014
set_prec,0.955 ± 0.008,0.931 ± 0.011,0.902 ± 0.012,0.852 ± 0.013,0.805 ± 0.015
