Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,18.311 ± 0.366,18.174 ± 0.363,17.994 ± 0.359,17.698 ± 0.353,17.434 ± 0.346
set_prec,27.301 ± 0.325,26.011 ± 0.301,24.218 ± 0.269,21.705 ± 0.221,19.723 ± 0.215
