Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.719 ± 0.016,0.700 ± 0.016,0.678 ± 0.019,0.630 ± 0.019,0.593 ± 0.019
set_prec,0.971 ± 0.006,0.953 ± 0.008,0.915 ± 0.011,0.879 ± 0.013,0.832 ± 0.016
