Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,483.524 ± 355.760,47.471 ± 1.618,46.514 ± 1.588,45.125 ± 1.544,43.910 ± 1.496
set_prec,63.138 ± 1.958,60.441 ± 1.876,57.418 ± 1.795,53.349 ± 1.697,49.447 ± 1.603
ArbiTree-CQC,772.491 ± 0.284,771.937 ± 0.589,770.773 ± 1.007,767.010 ± 2.488,760.122 ± 5.341
