Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,3.447 ± 0.918,3.447 ± 0.918,3.447 ± 0.918,3.447 ± 0.918,3.447 ± 0.918
set_prec,3.582 ± 1.002,3.582 ± 1.002,3.582 ± 1.002,3.582 ± 1.002,3.582 ± 1.002
set_min,1.588 ± 0.365,1.588 ± 0.365,1.588 ± 0.365,1.588 ± 0.365,1.588 ± 0.365
ArbiTree-CQC,150.748 ± 59.565,150.748 ± 59.565,150.748 ± 59.565,150.748 ± 59.565,150.748 ± 59.565
