Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.975 ± 0.030,0.930 ± 0.011,0.898 ± 0.013,0.848 ± 0.014,0.798 ± 0.018
set_prec,0.950 ± 0.011,0.932 ± 0.012,0.900 ± 0.015,0.851 ± 0.015,0.803 ± 0.018
ArbiTree-CQC,0.997 ± 0.002,0.996 ± 0.003,0.993 ± 0.003,0.987 ± 0.005,0.977 ± 0.008
