Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,26.373 ± 1.000,24.559 ± 0.929,22.862 ± 0.859,20.709 ± 0.775,19.349 ± 0.719
set_prec,29.785 ± 0.784,27.790 ± 0.709,25.854 ± 0.651,23.227 ± 0.564,20.831 ± 0.494
ArbiTree-CQC,398.244 ± 1.772,395.675 ± 1.984,390.277 ± 3.583,379.639 ± 4.494,363.893 ± 6.783
