Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.951 ± 0.010,0.932 ± 0.013,0.902 ± 0.016,0.850 ± 0.019,0.797 ± 0.021
set_prec,0.951 ± 0.011,0.932 ± 0.012,0.900 ± 0.015,0.850 ± 0.019,0.801 ± 0.020
set_min,0.953 ± 0.010,0.932 ± 0.013,0.901 ± 0.016,0.851 ± 0.020,0.802 ± 0.024
ArbiTree-CQC,0.994 ± 0.005,0.989 ± 0.005,0.980 ± 0.008,0.959 ± 0.012,0.928 ± 0.015
