Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,4.773 ± 1.049,4.773 ± 1.049,4.773 ± 1.049,4.773 ± 1.049,4.773 ± 1.049
set_prec,5.203 ± 1.189,5.203 ± 1.189,5.203 ± 1.189,5.203 ± 1.189,5.203 ± 1.189
set_min,1.052 ± 0.076,1.052 ± 0.076,1.052 ± 0.076,1.052 ± 0.076,1.052 ± 0.076
ArbiTree-CQC,82.484 ± 21.185,82.484 ± 21.185,82.484 ± 21.185,82.484 ± 21.185,82.484 ± 21.185
