Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.880 ± 0.014,1.880 ± 0.014,1.880 ± 0.014,1.880 ± 0.014,1.880 ± 0.014
set_prec,1.577 ± 0.050,1.577 ± 0.050,1.577 ± 0.050,1.577 ± 0.050,1.577 ± 0.050
