Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,774.000 ± 0.000,774.000 ± 0.000,774.000 ± 0.000,774.000 ± 0.000,32.793 ± 0.774
set_prec,29.161 ± 0.745,26.780 ± 0.687,23.966 ± 0.646,20.142 ± 0.578,17.335 ± 0.515
