Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.884 ± 0.013
set_prec,0.732 ± 0.019,0.664 ± 0.017,0.595 ± 0.020,0.498 ± 0.020,0.433 ± 0.021
