Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.931 ± 0.075,1.931 ± 0.075,1.931 ± 0.075,1.931 ± 0.075,1.931 ± 0.075
set_prec,1.567 ± 0.008,1.567 ± 0.008,1.567 ± 0.008,1.567 ± 0.008,1.567 ± 0.008
