Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,774.000 ± 0.000,774.000 ± 0.000,774.000 ± 0.000,774.000 ± 0.000,108.570 ± 245.727
set_prec,17.923 ± 0.198,16.614 ± 0.183,14.972 ± 0.187,13.143 ± 0.166,11.704 ± 0.161
