Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.993 ± 0.006
set_prec,0.903 ± 0.012,0.875 ± 0.014,0.831 ± 0.013,0.769 ± 0.016,0.697 ± 0.020
