Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,4.598 ± 1.084,4.598 ± 1.084,4.598 ± 1.084,4.598 ± 1.084,4.598 ± 1.084
set_prec,5.140 ± 1.109,5.140 ± 1.109,5.140 ± 1.109,5.140 ± 1.109,5.140 ± 1.109
set_min,1.031 ± 0.007,1.031 ± 0.007,1.031 ± 0.007,1.031 ± 0.007,1.031 ± 0.007
ArbiTree-CQC,84.124 ± 20.505,84.124 ± 20.505,84.124 ± 20.505,84.124 ± 20.505,84.124 ± 20.505
