Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,10.581 ± 0.346,9.575 ± 0.324,8.685 ± 0.280,7.824 ± 0.249,7.343 ± 0.235
set_prec,14.312 ± 0.395,12.930 ± 0.374,11.593 ± 0.332,10.027 ± 0.299,8.863 ± 0.281
set_min,11.816 ± 0.347,11.026 ± 0.311,10.113 ± 0.289,9.012 ± 0.259,8.131 ± 0.235
ArbiTree-CQC,388.921 ± 3.849,380.464 ± 4.727,367.458 ± 5.793,343.816 ± 6.956,319.733 ± 8.062
