Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.951 ± 0.011,0.930 ± 0.013,0.899 ± 0.013,0.849 ± 0.018,0.800 ± 0.021
set_prec,0.951 ± 0.010,0.932 ± 0.012,0.901 ± 0.016,0.852 ± 0.018,0.804 ± 0.023
set_min,0.951 ± 0.010,0.932 ± 0.011,0.903 ± 0.015,0.851 ± 0.020,0.802 ± 0.024
ArbiTree-CQC,0.982 ± 0.009,0.969 ± 0.010,0.947 ± 0.013,0.901 ± 0.016,0.856 ± 0.019
