Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,34.220 ± 1.089,32.499 ± 1.034,30.245 ± 0.965,27.518 ± 0.871,25.616 ± 0.808
set_prec,42.356 ± 1.083,39.590 ± 1.026,36.330 ± 0.941,31.944 ± 0.850,28.936 ± 0.796
ArbiTree-CQC,399.890 ± 1.149,398.011 ± 1.769,394.993 ± 2.315,387.653 ± 3.293,377.023 ± 4.338
