Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,2.408 ± 0.528,2.408 ± 0.528,2.408 ± 0.528,2.408 ± 0.528,2.408 ± 0.528
set_prec,2.612 ± 0.529,2.612 ± 0.529,2.612 ± 0.529,2.612 ± 0.529,2.612 ± 0.529
set_min,1.041 ± 0.007,1.041 ± 0.007,1.041 ± 0.007,1.041 ± 0.007,1.041 ± 0.007
ArbiTree-CQC,44.979 ± 10.782,44.979 ± 10.782,44.979 ± 10.782,44.979 ± 10.782,44.979 ± 10.782
