Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.953 ± 0.011,0.934 ± 0.013,0.901 ± 0.017,0.852 ± 0.018,0.801 ± 0.021
set_prec,0.950 ± 0.010,0.930 ± 0.012,0.901 ± 0.013,0.848 ± 0.018,0.800 ± 0.020
ArbiTree-CQC,0.997 ± 0.002,0.993 ± 0.005,0.987 ± 0.006,0.974 ± 0.008,0.950 ± 0.010
