Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.950 ± 0.011,0.928 ± 0.013,0.900 ± 0.016,0.851 ± 0.018,0.797 ± 0.022
set_prec,0.950 ± 0.010,0.930 ± 0.013,0.897 ± 0.015,0.849 ± 0.021,0.800 ± 0.023
set_min,0.951 ± 0.009,0.931 ± 0.011,0.900 ± 0.015,0.850 ± 0.020,0.798 ± 0.022
ArbiTree-CQC,0.996 ± 0.003,0.990 ± 0.005,0.977 ± 0.006,0.952 ± 0.008,0.911 ± 0.013
