Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,3.283 ± 0.611,3.283 ± 0.611,3.283 ± 0.611,3.283 ± 0.611,3.283 ± 0.611
set_prec,3.677 ± 0.773,3.677 ± 0.773,3.677 ± 0.773,3.677 ± 0.773,3.677 ± 0.773
set_min,1.765 ± 0.331,1.765 ± 0.331,1.765 ± 0.331,1.765 ± 0.331,1.765 ± 0.331
ArbiTree-CQC,143.414 ± 11.466,143.414 ± 11.466,143.414 ± 11.466,143.414 ± 11.466,143.414 ± 11.466
