Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,13.457 ± 0.142,11.961 ± 0.123,10.554 ± 0.116,8.870 ± 0.099,7.652 ± 0.091
set_prec,28.936 ± 0.524,25.357 ± 0.515,20.959 ± 0.450,16.493 ± 0.401,13.045 ± 0.339
set_min,21.366 ± 0.457,19.249 ± 0.448,16.552 ± 0.419,13.434 ± 0.380,11.009 ± 0.296
ArbiTree-CQC,752.421 ± 4.762,737.981 ± 4.784,714.120 ± 6.824,664.419 ± 10.788,610.944 ± 13.158
