Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,7.400 ± 1.470,7.400 ± 1.470,7.400 ± 1.470,7.400 ± 1.470,7.400 ± 1.470
set_prec,8.404 ± 1.576,8.404 ± 1.576,8.404 ± 1.576,8.404 ± 1.576,8.404 ± 1.576
set_min,1.316 ± 0.156,1.316 ± 0.156,1.316 ± 0.156,1.316 ± 0.156,1.316 ± 0.156
ArbiTree-CQC,281.037 ± 20.860,281.037 ± 20.860,281.037 ± 20.860,281.037 ± 20.860,281.037 ± 20.860
