Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,30.718 ± 0.374,29.378 ± 0.354,27.764 ± 0.336,25.773 ± 0.312,24.162 ± 0.301
set_prec,51.536 ± 0.502,48.391 ± 0.564,44.695 ± 0.619,39.281 ± 0.618,34.780 ± 0.656
set_min,36.459 ± 0.309,34.719 ± 0.281,32.668 ± 0.279,29.903 ± 0.286,27.253 ± 0.316
ArbiTree-CQC,771.572 ± 0.870,769.421 ± 2.067,764.446 ± 3.518,754.792 ± 5.014,740.944 ± 5.968
