Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.949 ± 0.011,0.930 ± 0.012,0.900 ± 0.014,0.849 ± 0.019,0.795 ± 0.019
set_prec,0.952 ± 0.013,0.933 ± 0.013,0.902 ± 0.016,0.852 ± 0.016,0.804 ± 0.018
set_min,0.951 ± 0.012,0.931 ± 0.014,0.902 ± 0.014,0.852 ± 0.017,0.802 ± 0.018
ArbiTree-CQC,1.000 ± 0.001,1.000 ± 0.001,0.998 ± 0.003,0.994 ± 0.005,0.989 ± 0.006
