Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,56.992 ± 0.499,55.236 ± 0.489,53.525 ± 0.476,50.789 ± 0.452,48.870 ± 0.439
set_prec,75.099 ± 0.554,72.224 ± 0.605,69.058 ± 0.696,64.117 ± 0.783,59.563 ± 0.825
ArbiTree-CQC,772.038 ± 0.787,771.214 ± 1.084,769.890 ± 1.788,768.151 ± 2.814,766.803 ± 3.475
