Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.950 ± 0.011,0.931 ± 0.011,0.902 ± 0.015,0.853 ± 0.023,0.803 ± 0.025
set_prec,0.949 ± 0.012,0.927 ± 0.016,0.897 ± 0.020,0.847 ± 0.021,0.796 ± 0.027
ArbiTree-CQC,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
