Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.947 ± 0.012,0.925 ± 0.014,0.895 ± 0.017,0.845 ± 0.021,0.797 ± 0.023
set_prec,0.945 ± 0.011,0.923 ± 0.013,0.895 ± 0.015,0.847 ± 0.018,0.797 ± 0.019
ArbiTree-CQC,0.999 ± 0.003,0.998 ± 0.004,0.998 ± 0.004,0.997 ± 0.005,0.996 ± 0.005
