Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.514 ± 0.183,1.514 ± 0.183,1.514 ± 0.183,1.514 ± 0.183,1.514 ± 0.183
set_prec,1.549 ± 0.191,1.549 ± 0.191,1.549 ± 0.191,1.549 ± 0.191,1.549 ± 0.191
set_min,0.825 ± 0.019,0.825 ± 0.019,0.825 ± 0.019,0.825 ± 0.019,0.825 ± 0.019
ArbiTree-CQC,2.775 ± 0.340,2.775 ± 0.340,2.775 ± 0.340,2.775 ± 0.340,2.775 ± 0.340
