Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,26.042 ± 0.597,25.042 ± 0.573,23.763 ± 0.547,22.402 ± 0.511,21.265 ± 0.485
set_prec,35.759 ± 0.859,33.886 ± 0.864,31.433 ± 0.842,28.642 ± 0.797,26.215 ± 0.757
ArbiTree-CQC,57.899 ± 0.195,57.860 ± 0.231,57.816 ± 0.264,57.738 ± 0.303,57.645 ± 0.336
