Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,5.775 ± 1.070,5.775 ± 1.070,5.775 ± 1.070,5.775 ± 1.070,5.775 ± 1.070
set_prec,5.252 ± 0.968,5.252 ± 0.968,5.252 ± 0.968,5.252 ± 0.968,5.252 ± 0.968
set_min,1.373 ± 0.241,1.373 ± 0.241,1.373 ± 0.241,1.373 ± 0.241,1.373 ± 0.241
ArbiTree-CQC,77.258 ± 26.023,77.258 ± 26.023,77.258 ± 26.023,77.258 ± 26.023,77.258 ± 26.023
